Country,Wins,RunnerUps,TotalFinals,YearsWon,YearsRunnerUp,ISO_Code
Brazil,5,2,7,"[1958, 1962, 1970, 1994, 2002]","[1950, 1998]",BRA
Germany,4,4,8,"[1954, 1974, 1990, 2014]","[1966, 1982, 1986, 2002]",DEU
Italy,4,2,6,"[1934, 1938, 1982, 2006]","[1970, 1994]",ITA
Argentina,3,3,6,"[1978, 1986, 2022]","[1930, 1990, 2014]",ARG
France,2,2,4,"[1998, 2018]","[2006, 2022]",FRA
Uruguay,2,0,2,"[1930, 1950]",[],URY
United Kingdom,1,0,1,[1966],[],GBR
Spain,1,0,1,[2010],[],ESP
Netherlands,0,3,3,[],"[1974, 1978, 2010]",NLD
Hungary,0,2,2,[],"[1938, 1954]",HUN
Czech Republic,0,2,2,[],"[1934, 1962]",CZE
Sweden,0,1,1,[],[1958],SWE
Croatia,0,1,1,[],[2018],HRV
